vehicle_name,year,miles,price,transmission,fuel_type,drivetrain,exterior_color,vin,mpg,engine
Acura TL 3.2 w/Navigation,2007,"115,667 ","9,350",5-Speed Automatic,Gasoline , Front-wheel Drive , Carbon Gray Pearl , 19UUA66217A036148 ,,3.2L V6 24V MPFI SOHC
Toyota FJ Cruiser Base (Retail Orders Only) (A5),2007,"195,053 ","14,699",5-Speed Automatic,Gasoline , Rear-wheel Drive , Yellow , JTEZU11F870012391 ,,4.0L V6 24V MPFI DOHC
Jeep Wrangler Unlimited X,2007,"76,590 ","20,900",6-Speed Manual,Gasoline , Four-wheel Drive , Flame Red , 1J4GA39157L164601 ,,3.8L V6 12V MPFI OHV
Buick LaCrosse CXL,2007,"108,127 ","7,495",4-Speed Automatic,Gasoline , Front-wheel Drive , – , 2G4WD582571199686 ,,3.8L V6 12V MPFI OHV
Toyota Camry SE,2007,"90,896 ","11,352",6-Speed Automatic,Gasoline , Front-wheel Drive , Silver Gray , 4T1BK46K77U023972 ,,3.5L V6 24V MPFI DOHC
BMW 525 i,2007,"61,220 ","8,991",6-Speed Automatic,Gasoline , RWD , Black , WBANE53557CW66241 ,,3.0L I6 24V MPFI DOHC
Ford Expedition XLT,2007,"164,329 ","7,999",Automatic 6-Speed,Gasoline , Rear-wheel Drive , Brown , 1FMFU155X7LA84907 ,,8 Cylinder Engine
Mercedes-Benz GL-Class GL 450 4MATIC,2007,"117,767 ","12,998",7-Speed Automatic,Gasoline , All-wheel Drive , Gray , 4JGBF71E67A137132 ,,4.6L V8 32V MPFI DOHC
Toyota Camry LE,2007,"104,000 ","9,490",5-Speed Automatic,Gasoline , Front-wheel Drive , Gray , JTNBE46K273074499 ,,2.4L I4 16V MPFI DOHC
Toyota FJ Cruiser Base (Retail Orders Only) (A5),2007,"270,351 ","11,099",5-Speed Automatic,Gasoline , Rear-wheel Drive , Silver , JTEZU11F870003822 ,,4.0L V6 24V MPFI DOHC
Dodge Nitro R/T,2007,"139,894 ","9,999",Automatic 5-Speed,Gasoline , Four-wheel Drive , Bright Silver Metallic , 1D8GU58697W709799 ,,V6 Cylinder Engine
Toyota Camry SE,2007,"181,137 ","6,980",5-Speed Manual,Gasoline , Front-wheel Drive , White , 4T1BE46K17U627542 ,,2.4L I4 16V MPFI DOHC
Acura RDX,2007,"160,309 ","7,900",5-Speed Automatic,Gasoline , All-wheel Drive , Royal Blue Pearl , 5J8TB18277A003941 ,,2.3L I4 16V MPFI DOHC Turbo
Mercedes-Benz E-Class E 550 4MATIC,2007,"152,105 ","7,999",5-Speed Automatic,Gasoline , All-wheel Drive , Silver , WDBUF90X57B175732 ,,5.5L V8 32V MPFI DOHC
Honda CR-V LX,2007,"101,000 ","9,988",5-Speed Automatic,Gasoline , Front-wheel Drive , Royal Blue Pearl , JHLRE38367C043018 ,,2.4L I4 16V MPFI DOHC
Lincoln Town Car Signature Limited,2007,"95,161 ","9,995",4-Speed Automatic,– , Rear-wheel Drive , – , 1LNHM82V87Y617605 ,,4.6L V8 16V MPFI SOHC
Nissan Altima 2.5 S,2007,"91,000 ","7,490",Automatic CVT,Gasoline , Front-wheel Drive , Winter Frost , 1N4AL21E57N488866 ,,2.5L I4 16V MPFI DOHC
Honda Civic LX,2007,"135,534 ","6,139",5-Speed Automatic,Gasoline , FWD , Red , 1HGFA16557L000148 ,,1.8L I4 16V MPFI SOHC
Chevrolet Tahoe LT,2007,"128,320 ","15,999",4-Speed Automatic,E85 Flex Fuel , Four-wheel Drive , Gold , 1GNFK13097J132451 ,,5.3L V8 16V MPFI OHV Flexible Fuel
Jeep Wrangler X,2007,"95,659 ","16,999",Manual 6-Speed,Gasoline , Four-wheel Drive , Red , 1J4FA24117L111018 ,,V6 Cylinder Engine
GMC Yukon SLT,2007,"125,655 ","15,888",4-Speed Automatic,Flexible Fuel , RWD , Silver Birch Metallic , 1GKFC13037R243797 ,,5.3L V8 16V MPFI OHV Flexible Fuel
Mercedes-Benz E-Class E 350,2007,"154,058 ","6,500",7-Speed Automatic,Gasoline , RWD , Black , WDBUF56X87B112818 ,,3.5L V6 24V MPFI DOHC
Chevrolet Suburban LS,2007,"152,049 ","13,674",4-Speed Automatic,– , Rear-wheel Drive , Blue , 3GNFC16J07G254473 , –,5.3L V8 16V MPFI OHV
Mazda Mazda6 sSport VE,2007,"47,260 ","7,920",6-Speed Automatic,Gasoline , Front-wheel Drive , Glacier Silver Metallic , 1YVHP80D875M55847 ,,3.0L V6 24V MPFI DOHC
Toyota FJ Cruiser,2007,"109,677 ","22,998",5-Speed Automatic,Gasoline , Four-wheel Drive , Blue , JTEBU11F370043632 ,,4.0L V6 24V MPFI DOHC
BMW 335 i,2007,"122,905 ","9,401",6-Speed Automatic,Gasoline , Rear-wheel Drive , Monaco Blue Metallic , WBAVB73577VH21798 ,,3.0L I6 24V GDI DOHC Twin Turbo
BMW X3 3.0si,2007,"85,746 ","9,999",6-Speed Automatic,Gasoline , All-wheel Drive , Monaco Blue Metallic , WBXPC93417WF21721 ,,3.0L I6 24V MPFI DOHC
Lexus RX 350,2007,"114,450 ","13,220",5-Speed Automatic,Gasoline , Front-wheel Drive , Gold , JTJGK31U170007901 ,,3.5L V6 24V MPFI DOHC
Toyota Corolla LE,2007,"177,169 ","6,991",4-Speed Automatic,Gasoline , Front-wheel Drive , Black Sand Pearl , 1NXBR32E07Z848905 ,,1.8L I4 16V MPFI DOHC
Toyota FJ Cruiser,2007,"141,648 ","21,900",6-Speed Manual,Gasoline , Four-wheel Drive , Voodoo Blue , JTEBU11F770051684 , –,4.0L V6 24V MPFI DOHC
Honda Accord EX-L,2006,"131,307 ","7,991",5-Speed Automatic,Gasoline , Front-wheel Drive , Nighthawk Black Pearl , 1HGCM56816A174482 ,,2.4L I4 16V MPFI DOHC
Lexus GS 300,2006,"53,652 ","13,495",6-Speed Automatic,Gasoline , Rear-wheel Drive , White , JTHBH96S565006224 ,,3.0L V6 24V GDI DOHC
Jeep Grand Cherokee Overland,2006,"137,863 ","7,990",Automatic,Gasoline , Four-wheel Drive , Green , 1J8HR68246C348045 ,,5.7L V8 16V MPFI OHV
Mercedes-Benz M-Class ML 350 4MATIC,2006,"172,504 ","6,500",7-Speed Automatic,Gasoline , AWD , White , 4JGBB86EX6A089823 ,,3.5L V6 24V MPFI DOHC
Cadillac Escalade,2006,"129,866 ","13,500",4-Speed Automatic,Gasoline , Rear-wheel Drive , Silver , 1GYEC63N86R147088 ,,6.0L V8 16V MPFI OHV
GMC Yukon Denali,2006,"174,386 ","9,999",4-Speed Automatic,Gasoline , All-wheel Drive , Black , 1GKEK63U46J105200 ,,6.0L V8 16V MPFI OHV
Lexus GX 470,2006,"219,000 ","16,900",5-Speed Automatic,Gasoline , 4WD , White , JTJBT20XX60116725 ,,4.7L V8 32V MPFI DOHC
Honda Civic LX,2006,"133,980 ","8,650",5-Speed Automatic,Gasoline , Front-wheel Drive , Silver , 2HGFA16516H508497 ,,1.8L I4 16V MPFI SOHC
Mercedes-Benz C-Class C230,2006,"71,686 ","7,980",7-Speed Automatic,Gasoline , RWD , Silver , WDBRF52H46F772804 ,,2.5L V6 24V MPFI DOHC
Mercedes-Benz M-Class ML 350 4MATIC,2006,"108,660 ","7,450",7-Speed Automatic,Gasoline , AWD , Silver , 4JGBB86E66A037976 ,,3.5L V6 24V MPFI DOHC
Honda CR-V LX,2006,"102,000 ","9,490",5-Speed Automatic,Gasoline , Front-wheel Drive , Silver , JHLRD68546C021989 ,,2.4L I4 16V MPFI DOHC
Lexus IS 350,2006,"152,000 ","10,490",6-Speed Automatic,Gasoline , Rear-wheel Drive , – , JTHBE262265010621 ,,3.5L V6 24V GDI DOHC
Toyota RAV4 Limited,2006,"112,185 ","11,991",4-Speed Automatic,Gasoline , 4WD , Blue , JTMBD31V866016445 ,,2.4L I4 16V MPFI DOHC
Mercedes-Benz C-Class C280,2006,"142,639 ","6,989",7-Speed Automatic,Gasoline , Rear-wheel Drive , Black , WDBRF54HX6F783125 ,,3.0L V6 24V MPFI DOHC
Ford Explorer XLS,2006,"156,601 ","5,998",5-Speed Automatic,Gasoline , RWD , Brown , 1FMEU62E26UA28174 ,,4.0L V6 12V MPFI SOHC
Toyota Highlander Limited,2006,"159,418 ","11,988",5-Speed Automatic,Gasoline , Front-wheel Drive , – , JTEDP21A560123930 ,,3.3L V6 24V MPFI DOHC
Chevrolet Suburban LT,2006,"208,770 ","9,999",4-Speed Automatic,Flexible Fuel , 4WD , Gold , 1GNFK16Z96J169413 , –,5.3L V8 16V MPFI OHV Flexible Fuel
Acura MDX Touring,2006,"201,706 ","6,850",5-Speed Automatic,Gasoline , 4WD , Red , 2HNYD18816H530676 ,,3.5L V6 24V MPFI SOHC
