Toyota Camry Hybrid XLE,2018,"23,923 ","35,417",Automatic CVT,Hybrid , Front-wheel Drive , Midnight Black Metallic , 4T1B31HK7JU003110 ,,2.5L I4 16V PDI DOHC Hybrid
Audi A4 2.0T Premium Plus,2018,"37,896 ","32,350",7-Speed Automatic with Auto-Shift,Gasoline , All-wheel Drive , Scuba Blue Metallic , WAUENAF42JA075069 ,,2.0L I4 16V GDI DOHC Turbo
Audi S4 3.0T Premium Plus,2018,"28,243 ","46,995",8-Speed Automatic,Gasoline , All-wheel Drive , Daytona Gray Pearl Effect , WAUB4AF43JA001441 ,,3.0L V6 24V GDI DOHC Turbo
Tesla Model 3 Standard Range Plus,2019,"22,247 ","47,990",1-Speed Automatic,Electric , Rear-wheel Drive , Black , 5YJ3E1EA6KF412465 ,,Electric
Mercedes-Benz E-Class E 350,2020,"15,573 ","47,555",9-Speed Automatic,Gasoline , Rear-wheel Drive , Gray Metallic , WDDZF8DB5LA752748 ,,2.0L I4 16V GDI DOHC Turbo
BMW 530e iPerformance,2018,"18,199 ","39,995",8-Speed Automatic,Hybrid , Rear-wheel Drive , Jet Black , WBAJA9C53JB253538 , –,2.0L I4 16V GDI DOHC Turbo Hybrid
BMW 530e iPerformance,2019,"37,239 ","39,998",8-Speed Automatic,Hybrid , Rear-wheel Drive , Bluestone Metallic , WBAJA9C58KB388807 , –,2.0L I4 16V GDI DOHC Turbo Hybrid
Tesla Model 3 Performance,2020,"28,846 ","62,500",1-Speed Automatic,Electric , All-wheel Drive , Pearl White Multi , 5YJ3E1EC2LF719389 ,,Electric
Mercedes-Benz C-Class C 300,2018,"11,607 ","37,850",9-Speed Automatic,Gasoline , Rear-wheel Drive , designo Diamond White Metallic , 55SWF4JB7JU264625 ,,2.0L I4 16V GDI DOHC Turbo
Lexus ES 350 Base,2018,"38,738 ","35,898",6-Speed Automatic,Gasoline , Front-wheel Drive , Atomic Silver , 58ABK1GG9JU090226 ,,3.5L V6 24V MPFI DOHC
Mercedes-Benz E-Class E 300,2019,"31,322 ","44,992",9-Speed Automatic,Gasoline , RWD , Black , WDDZF4JB4KA498168 ,,2.0L I4 16V GDI DOHC Turbo
Mercedes-Benz E-Class E 300,2018,"33,982 ","40,995",9-Speed Automatic,Gasoline , Rear-wheel Drive , Polar White , WDDZF4JB8JA390196 ,,2.0L I4 16V GDI DOHC Turbo
Tesla Model 3 Standard Range Plus,2019,"39,899 ","45,314",1-Speed Automatic,Electric , Rear-wheel Drive , Pearl White Multi , 5YJ3E1EAXKF309923 ,,Electric
Honda Civic Si Base,2020,"21,075 ","31,991",6-Speed Manual,Gasoline , Front-wheel Drive , Platinum White Pearl , 2HGFC1E53LH703301 ,,1.5L I4 16V GDI DOHC Turbo
Audi A4 2.0T Premium Plus,2019,"29,610 ","36,457",7-Speed Automatic with Auto-Shift,Gasoline , All-wheel Drive , Matador Red Metallic , WAUENAF44KA050966 ,,2.0L I4 16V GDI DOHC Turbo
Tesla Model 3 Long Range,2018,"28,223 ","48,964",1-Speed Automatic,Electric , Rear-wheel Drive , Black , 5YJ3E1EAXJF020832 ,,Electric
BMW 530e iPerformance,2018,"17,471 ","37,350",8-Speed Automatic,Hybrid , Rear-wheel Drive , Bluestone Metallic , WBAJA9C50JB252847 , –,2.0L I4 16V GDI DOHC Turbo Hybrid
BMW 530 i xDrive,2018,"33,076 ","40,998",8-Speed Automatic,Gasoline , All-wheel Drive , Black Sapphire Metallic , WBAJA7C54JWC74799 ,,2.0L I4 16V GDI DOHC Turbo
Mercedes-Benz E-Class E 300,2018,"18,930 ","45,188",9-Speed Automatic,Gasoline , Rear-wheel Drive , designo Diamond White , WDDZF4JB3JA361253 ,,2.0L I4 16V GDI DOHC Turbo
Toyota Camry SE,2020,"23,562 ","35,000",8-Speed Automatic,Gasoline , Front-wheel Drive , Midnight Black Metallic , 4T1G11AK5LU331621 ,,2.5L I4 16V PDI DOHC
Tesla Model 3 Long Range,2020,"13,918 ","56,998",1-Speed Automatic,Electric , All-wheel Drive , Pearl White Multi , 5YJ3E1EB6LF667384 ,,Electric
Volvo S60 T5 Momentum,2021,"14,084 ","36,990",8-Speed Automatic,Gasoline , All-wheel Drive , Gray , 7JR102TZ2MG109715 ,,2.0L I4 16V GDI DOHC Turbo
Toyota Camry XSE,2018,"40,450 ","34,999",8-Speed Automatic,Gasoline , Front-wheel Drive , White , 4T1B61HK8JU048757 ,,2.5L I4 16V PDI DOHC
Honda Civic LX,2018,"38,296 ","23,495",Automatic CVT,Gasoline , Front-wheel Drive , Gray , 2HGFC2F57JH552111 ,,2.0L I4 16V MPFI DOHC
Toyota Corolla SE,2021,"12,204 ","29,988",Automatic CVT,Gasoline , Front-wheel Drive , Classic Silver Metallic , 5YFS4MCEXMP070435 ,,2.0L I4 16V PDI DOHC
Mercedes-Benz E-Class E 300,2019,"12,268 ","49,633",9-Speed Automatic,Gasoline , Rear-wheel Drive , designo Diamond White Metallic , WDDZF4JB5KA529864 ,,2.0L I4 16V GDI DOHC Turbo
Lexus ES 350 Luxury,2019,"27,546 ","40,998",8-Speed Automatic,Gasoline , Front-wheel Drive , Black , JTHBZ1B18K2000408 ,,3.5L V6 24V PDI DOHC
BMW 540 i,2019,"11,689 ","48,886",8-Speed Automatic,Gasoline , Rear-wheel Drive , Dark Graphite Metallic , WBAJE5C59KWE66441 ,,3.0L I6 24V GDI DOHC Turbo
BMW 330 i,2018,"22,898 ","33,795",8-Speed Automatic,Gasoline , Rear-wheel Drive , Alpine White , WBA8B9G50JNU98673 ,,2.0L I4 16V GDI DOHC Turbo
BMW M3 Base,2017,"56,303 ","51,999",7-Speed Automatic with Auto-Shift,Gasoline , Rear-wheel Drive , Silverstone Metallic , WBS8M9C56H5G83884 ,,3.0L I6 24V GDI DOHC Twin Turbo
Dodge Charger Scat Pack,2021,"11,081 ","48,990",8-Speed Automatic,Gasoline , Rear-wheel Drive , Granite Pearlcoat , 2C3CDXGJXMH562082 ,,6.4L V8 16V MPFI OHV
Dodge Charger SXT,2016,"75,325 ","21,888",8-Speed Automatic,Gasoline , RWD , Billet Silver Metallic Clearcoat , 2C3CDXHG3GH233134 ,,3.6L V6 24V MPFI DOHC
Acura ILX Premium Package,2019,"10,406 ","27,994",8-Speed Automatic with Auto-Shift,Gasoline , Front-wheel Drive , Majestic Black Pearl , 19UDE2F74KA015246 ,,2.4L I4 16V GDI DOHC
BMW M3 Base,2017,"25,452 ","62,983",7-Speed Automatic with Auto-Shift,Gasoline , Rear-wheel Drive , Mineral Gray Metallic , WBS8M9C51H5G84666 ,,3.0L I6 24V GDI DOHC Twin Turbo
Mercedes-Benz E-Class E 300,2018,"21,743 ","45,999",9-Speed Automatic,Gasoline , Rear-wheel Drive , Black , WDDZF4JB6JA455319 ,,2.0L I4 16V GDI DOHC Turbo
Tesla Model 3 Long Range,2018,"56,196 ","48,500",1-Speed Automatic,Electric , All-wheel Drive , Black , 5YJ3E1EB8JF184265 ,,Electric
Mercedes-Benz E-Class E 350,2020,"11,869 ","52,511",9-Speed Automatic,Gasoline , Rear-wheel Drive , Obsidian Black Metallic , W1KZF8DB2LA770463 ,,2.0L I4 16V GDI DOHC Turbo
Subaru WRX STI Base,2016,"32,479 ","33,992",6-Speed Manual,Gasoline , All-wheel Drive , Crystal White Pearl , JF1VA2M61G9817065 ,,2.5L H4 16V MPFI DOHC Turbo
Toyota Corolla Hybrid LE,2021,"23,521 ","26,998",Automatic CVT,Hybrid , Front-wheel Drive , CELESTITE , JTDEAMDE4MJ025399 ,,1.8L I4 16V MPFI DOHC Hybrid
Mercedes-Benz E-Class E 350,2020,"17,850 ","50,588",9-Speed Automatic,Gasoline , Rear-wheel Drive , Blue , WDDZF8DB8LA716102 ,,2.0L I4 16V GDI DOHC Turbo
Mercedes-Benz C-Class C 300,2019,"28,773 ","36,495",9-Speed Automatic,Gasoline , Rear-wheel Drive , Lunar Blue Metallic , 55SWF8DB4KU294248 ,,2.0L I4 16V GDI DOHC Turbo
Honda Accord Sport,2019,"18,023 ","28,950",6-Speed Manual,Gasoline , Front-wheel Drive , Gray , 1HGCV1E33KA055998 ,,1.5L I4 16V GDI DOHC Turbo
